description,amount,category
Yes Bank Debit: Rs. 9323 to titaneyeplus@hdfcbank UPI,9322.74,shopping_offline
ICICI UPI: Rs 619.06 to adanielectri@kotak,619.06,bills_electricity
BOB Alert: INR 360 spent at Barbeque Nation,359.79,food_delivery
"Payment of Rs 7,107 to UHBVN successful",7107.46,bills_electricity
paid rs 2372 to indrive via gpay,2371.52,transport_ride
BOB: Rs 1492 debited from a/c **1434 for Shell,1491.6,transport_fuel
"UPI: Rs 1,065 to airtel@okhdfcbank for purchase",1064.85,bills_telecom
"investment: rs 5,267.66 to groww via upi",5267.66,investment
Payment of Rs 30916/- to Cleartrip successful,30916.05,travel
Axis Debit: Rs 5365/- to courier@kotak UPI,5365.14,other
"rs 13,667.36/- debited great learning canara",13667.36,education
SBI: Rs 642 debited from a/c **2679 for Apple TV+,642.45,entertainment
Kotak Debit: Rs 2032 to nayaraenergy@ybl UPI,2032.01,transport_fuel
"ICICI: Rs.1,735 paid to Vi Vodafone via UPI Ref 234587291",1734.96,bills_telecom
YES BANK ALERT: INR 14008/- SPENT AT PANTALOONS,14007.84,shopping_offline
PhonePe: Rs 14031/- paid to OYO,14031.16,travel
CARD **7873 used at Google One for Rs.1347/-,1346.83,subscription
Salary for Aug - Rs 142262/- from Tata Motors,142262.08,salary
"Kotak: Rs. 17,566.97 debited for ICICI Personal Loan EMI",17566.97,emi
Rs 1343/-/- debited Country Delight HDFC,1342.89,groceries
payment of rs 2302 to natures basket successful,2301.66,groceries
"UPI: Rs 1,418.33 to airtelxstrea@axisbank for purchase",1418.33,bills_telecom
"BOB SMS: INR 2,033.22 DEBITED UPI TXN TO UBER@YBL",2033.22,transport_ride
UPI: Rs 110.48 to dropbox@axl for purchase,110.48,subscription
ICICI Alert: INR 1233/- spent at ChatGPT Plus,1232.98,subscription
"ICICI: Rs 9,121 debited for ICICI Personal Loan EMI",9121.21,emi
Kuvera - Rs 71896 invested in mutual fund,71895.69,investment
"IndusInd: Rs 13,801.69 debited for Sugar Cosmetics purchase",13801.69,shopping_online
PhonePe: Rs 945.54 paid to Metro Cash,945.54,groceries
Payment of Rs 25318 to PeoplePerHour successful,25318.06,freelance
PhonePe: Rs 11685 paid to Lifestyle,11685.39,shopping_offline
Boat Lifestyle - Rs.9317 paid via UPI,9316.75,shopping_online
Payment of Rs 874 to Indane Gas successful,873.78,transport_fuel
"Laundry - Rs.9,280 paid via UPI",9280.07,other
"ICICI SMS: INR 6,477 debited UPI txn to bescom@ybl",6476.93,bills_electricity
"UPI: Rs 14,193 to udemy@axisbank for purchase",14193.31,education
"Payment of Rs 1,267.34 to Essar Petrol successful",1267.34,transport_fuel
CANARA DEBIT: RS 3319 TO HOUSEWARMING@PAYTM UPI,3319.12,gifts
"PNB: Rs. 2,519.66 debited for BESCOM purchase",2519.66,bills_electricity
"BOB: Rs.2,019.98 paid to Titan Eye Plus via UPI Ref 182621546",2019.98,shopping_offline
SBI: Rs 232/- debited for Excitel purchase,232.47,bills_telecom
"UPI: RS 3,384 TO BPCL@OKAXIS FOR PURCHASE",3384.1,transport_fuel
BOB: Rs.23039/- paid to Max Hospital via UPI Ref 236668521,23038.64,health_medical
Yes Bank: Rs.1691/- paid to Grammarly via UPI Ref 498049146,1691.43,subscription
"BOB: Rs 10,684.76 debited for HDFC Home Loan EMI",10684.76,emi
Kotak: Rs 170 debited for Adobe CC purchase,169.6,subscription
Loan EMI Rs 47067 paid to ICICI Personal Loan,47066.53,emi
"Yes Bank Alert: INR 7,239.47 spent at Anniversary gift",7239.47,gifts
"IndusInd Debit: Rs 1,494 to mojopizza@axl UPI",1493.5,food_delivery
House rent payment Rs 43983 for May,43983.44,rent
"UPI: Rs 27,078.52 to coursera@okhdfcbank for purchase",27078.52,education
"canara alert: inr 30,537.84 spent at vedantu",30537.84,education
IndusInd: Rs 8665 debited for Chumbak purchase,8664.63,shopping_online
HDFC: Rs.137.17 paid to Haldirams via UPI Ref 121882877,137.17,food_delivery
"PhonePe: Rs 6,634.22 paid to BSES Rajdhani",6634.22,bills_electricity
Headspace - Rs..526.92 paid via UPI,526.92,subscription
Rs 777/- debited Jio Fiber Yes Bank,776.77,bills_telecom
"Rs 1,944.04/- debited Jawed Habib BOB",1944.04,personal_care
"Auto debit Rs 29,193.42 Mahindra Finance loan account",29193.42,emi
"Room rent payment Rs. 21,098.62 for Jul",21098.62,rent
"Yes Bank: Rs 2,850 debited from a/c **4257 for IMPS Transfer",2850.4,other
"UPI: Rs 38,652 to scaleracadem@ybl for purchase",38651.67,education
SBI UPI: Rs 8380/- to titaneyeplus@kotak,8379.98,shopping_offline
"BOB: RS.69,611 PAID TO CONSULTING FEE VIA UPI REF 950492145",69611.47,freelance
"rs 7,883.00/- debited development work pnb",7883.0,freelance
"Yes Bank Credit: Rs 193,864 NEFT-Wipro-SALARY",193864.5,salary
Yes Bank: Rs.698/- paid to BPCL via UPI Ref 828419083,697.82,transport_fuel
Payment of Rs 1568 to Uber Auto successful,1567.55,transport_ride
PHONEPE: RS 1255 PAID TO APPLE TV+,1255.38,entertainment
UPI: Rs 267 to mcgmwater@paytm for purchase,266.86,bills_water
Diwali gift - Rs.5808 paid via UPI,5808.49,gifts
"Paid Rs 9,416.76 to boAt via GPay",9416.76,shopping_online
canara alert: inr 93711 spent at design work,93710.64,freelance
BOB: Rs 302.28 debited from a/c **4811 for EatFit,302.28,food_delivery
Paytm Money - Rs 38355 invested in mutual fund,38354.61,investment
Canara Alert: INR 9738 spent at Peter England,9738.43,shopping_offline
"BOB: Rs 4,278.30 debited for Sugar Cosmetics purchase",4278.3,shopping_online
"ICICI: RS 35,510.39 DEBITED FOR KHAN ACADEMY PURCHASE",35510.39,education
